738;HASchange;;0;69567850
702;Papa-Change;;0;748105
660;FlyChange;;0;4024520
714;Top-Exchange;;0;392989
719;ObmenLite24;;0;20271119
672;99Francs;;0;169769
715;Coins-Trade;;0;556240
658;BtcTenge;;0;39840660
686;1Mile;;0;79395609
695;BTC-Обменник;;0;13614480
706;HoBit;;0;2661517
705;Cryptonex;;0;41029
713;CashOut;;0;508491
687;WikiPays;;0;4389081
749;BitOkk;;0;156754603
690;Fair-Exchange;413428403759;0;9436
685;BitCash;;0;665868
723;BitObmen;;0;575249
718;Platov;;0;23403387
712;Criptify;;0;0
755;Big-Changer;;0;148106
703;Obmen4you;320026778932;1576;13957
716;Bitok777;;0;29103
782;Tec-Bit;;0;4814962
750;CashAdmin;;0;86425452
758;CryptoBox;;0;7527176
741;BTCe-Obmen;;0;821687
737;BonkyPay;232342940453;0;112020606
761;FlashObmen;;0;344987
757;ChangeNow;;0;50745130
770;BTC24pro;;0;0
779;MoneyMix;;0;5495495
790;2rbina;;0;95653885
776;XbiTrade;;0;752087
785;PayMarket;;0;186932
780;Bitcoin24Pro;;0;62299935
766;UniCash;;0;71133167
764;NiceChange;;0;70600709
772;CoinPayMaster;;0;440479313
792;SberBit;;0;452606
799;Криптообменник;;0;948175
801;Coin-Future;;0;268416
793;IceBTC;;0;24594607
798;Quickex;;0;41336556
808;ChangeCoins;;0;1720703
814;BitBits;;0;66357
835;7Pay;709807738416;1659;328587
827;Crypster;;0;14939264
818;R-Obmen;;0;2060089
812;Ex-Bank;;0;3664451
823;Обменочка;;0;1799863
809;XbitMoney;155289860990;1612;134056
816;WM007;;0;13813
840;YoChange;;0;322358042
838;AlfaExchange;;0;55796872
839;MyInvestStory;;0;3305
821;ExchangeTeam;;0;170014114
815;Belqi;;0;18927662
842;AllMoney;406103529800;225;4120383
850;Keine-Exchange;;0;104174552
846;ExchangeYourMoney;;0;2094158
848;SwapCoin;;0;17034321
852;RamonCash;;0;19088798
857;Paytiz;227421344645;275;0
855;CoinStart;;0;71067771
858;FixedFloat;;0;5803740
865;Bixter;;0;12093846
869;ExpoChange;412963033166;0;569810
866;Delets;;0;13548503
872;WM-Obmen;362955051206;1795;411260
871;BitokMe;;0;347661802
895;CryptoBarMen;;0;44807965
867;Сумма;;0;437276
870;Alfa-Trades;;0;19623510
882;BuyBank;;0;4330880
881;AllTrustMe;;0;1740948
877;Об-мен;963523258975;137;795778
884;Cryptex;;0;2362231
907;ObmenAT24;;0;2539022
874;ChangeHero;;0;36228357
1093;GetExch;;0;5045202
905;TraiderIdeal;;0;48765
902;BTC-Волга;;0;9561842
885;JPMarket;;0;532146
897;AnonEx;;0;1859681
888;GramBit;;0;216105005
894;КупиБит;;0;2050989
898;Вобменка;;0;457973
901;WMStar;310224582545;0;582099
899;CoinShop24;;0;133181767
896;CoinChanger;;0;1534343
910;WMT;797230232341;290;284065
915;CoinGuru;;0;50253170
914;Ex-code;;0;1508
989;CoinsBlack;890273718097;0;8817868
913;Quantex;;0;3197531
917;Micro-exchange;;0;30621571
916;Cryptos;;0;901288
925;Sunduk;;0;1074930
939;EuroBit;;0;11991678
935;Wiki-Exchange;;0;50296812
922;PayWallet;;0;163000
943;TopCash;;0;256291
927;Msk-Exchange;;0;305650
929;RoyalCash;;0;423936275
930;Crypto-Store;;0;479267
942;ExHub;;0;5887890
944;EExchanger;330964771407;0;18824554
949;Coco-Pay;;0;9384746
948;AbcObmen;;0;160733703
951;PrideChange;;0;7838841
