42;93;5.29
10;42;3.92
10;105;3.09
105;93;2.79
42;56;2.68
93;42;2.46
10;84;2.02
93;105;1.95
10;56;1.73
10;60;1.4
42;10;1.33
63;93;1.24
56;42;1.11
42;84;0.88
105;10;0.86
139;42;0.81
59;93;0.8
6;93;0.78
10;89;0.73
10;59;0.65
89;10;0.63
93;59;0.58
84;10;0.56
139;105;0.56
84;42;0.53
60;42;0.5
99;42;0.48
10;91;0.48
6;56;0.46
10;6;0.42
93;84;0.42
10;93;0.42
63;10;0.4
1;56;0.39
93;56;0.37
105;56;0.37
42;60;0.37
60;10;0.37
17;93;0.36
93;66;0.35
91;10;0.34
10;52;0.34
93;10;0.32
56;10;0.3
42;99;0.29
63;99;0.29
99;105;0.28
105;84;0.27
42;185;0.26
10;63;0.26
84;93;0.25
36;42;0.24
93;60;0.24
36;105;0.24
108;56;0.23
56;93;0.23
58;10;0.22
1;84;0.22
59;60;0.22
105;99;0.22
208;105;0.21
117;56;0.21
10;185;0.21
42;117;0.21
63;56;0.21
93;52;0.21
208;42;0.21
60;93;0.2
59;10;0.2
93;63;0.19
63;84;0.19
52;93;0.19
108;84;0.19
10;58;0.18
40;42;0.18
185;42;0.18
93;91;0.18
42;40;0.17
42;139;0.17
51;93;0.17
93;17;0.17
10;40;0.16
10;66;0.16
108;60;0.16
42;149;0.15
10;99;0.15
36;89;0.15
105;185;0.15
93;111;0.15
105;139;0.15
93;89;0.14
63;60;0.09
63;185;0.07
63;40;0.07
63;149;0.04
99;63;0.04
63;117;0.04
84;63;0.03
139;63;0.03
1;63;0.03
